class,method,target_rate,mean_target_confidence,fid
akiec,baseline,0.7166666666666667,0.45793761347886175,174.5657785045584
akiec,ppo,1.0,0.8727613141139349,182.29085456165708
df,baseline,0.008333333333333333,0.03125524095473035,197.14398695022808
df,ppo,1.0,0.7676100537180901,217.62829591857263
vasc,baseline,0.44166666666666665,0.4212220447526003,172.4390431670464
vasc,ppo,1.0,0.9856716473897298,174.63135463567374
