class,method,target_rate,mean_target_confidence,fid
akiec,baseline,0.84,0.2475908702115218,182.54277259416529
akiec,ppo,1.0,0.4410452581445376,188.21112952560037
df,baseline,0.08333333333333333,0.18766415640711784,223.42505780033844
df,ppo,1.0,0.4554536058505376,276.83280226121593
vasc,baseline,0.13,0.1611071302369237,214.62066045001927
vasc,ppo,1.0,0.7465360474586487,381.09942907423033
